Feature, Counts
base_ATS0se, 20
Temp_C, 20
base_ATS0Z, 20
solvent_ABC, 20
ligand_SpAbs_A, 20
ligand_AATS0dv, 20
ligand_ABC, 20
ligand_nAromAtom, 20
ligand_AATS3se, 20
solvent_SpMAD_A, 20
ligand_Xch-7d, 20
ligand_AATS4dv, 20
ligand_MATS1dv, 20
ligand_nHetero, 19
ligand_AATS5dv, 19
ligand_nAtom, 18
ligand_ATSC7c, 18
ligand_ABCGG, 18
solvent_VE2_A, 18
base_ABC, 17
ligand_VR1_A, 16
ligand_SpMax_A, 14
ligand_JGI7, 14
ligand_AATSC6Z, 14
ligand_GATS6pe, 14
ligand_ATSC3i, 13
ligand_MATS3i, 13
solvent_nHetero, 12
ligand_AATS7dv, 12
ligand_ATSC8se, 12
ligand_nN, 11
ligand_ATSC1dv, 11
ligand_ATSC8p, 11
ligand_ATSC8s, 10
ligand_AATS6d, 10
ligand_BCUTdv-1l, 9
ligand_nH, 9
ligand_AATSC3i, 9
ligand_ATSC8v, 8
ligand_MATS7i, 8
ligand_ATSC5dv, 8
ligand_AATS7p, 8
ligand_nO, 8
ligand_AATSC7c, 8
ligand_ATSC1v, 7
ligand_AATS7se, 7
ligand_ATSC3c, 7
ligand_BCUTse-1l, 7
ligand_AATS0pe, 7
Concentration, 7
solvent_SpMax_A, 1

